timeperiod,source,target,value
1,1322442481825312768,bend_back,6
1,1322442481825312768,bend_bridge,6
1,1322442481825312768,bend_boost,6
1,1322442481825312768,bend_explain,6
1,1322442481825312768,bend_engage,6
1,1322442481825312768,bend_dismay,6
2,1322442481825312768,bend_back,17
2,1322442481825312768,bend_build,6
2,1322442481825312768,bend_bridge,11
2,1322442481825312768,bend_boost,11
2,1322442481825312768,bend_explain,17
2,1322442481825312768,bend_engage,17
2,1322442481825312768,bend_enhance,6
2,1322442481825312768,bend_neglect,6
2,1322442481825312768,bend_dismay,17
2,1322442481825312768,bend_distort,6
3,1141225465241145344,bend_back,4
3,1141225465241145344,bend_build,2
3,1141225465241145344,bend_excite,2
3,1141225465241145344,bend_explain,2
3,1141225465241145344,bend_engage,4
3,1141225465241145344,bend_enhance,4
3,1141225465241145344,bend_neglect,2
3,1141225465241145344,bend_dismay,4
3,1141225465241145344,bend_dismiss,2
3,1141225465241145344,bend_distract,2
3,1322442481825312768,bend_back,25
3,1322442481825312768,bend_build,10
3,1322442481825312768,bend_bridge,15
3,1322442481825312768,bend_boost,15
3,1322442481825312768,bend_explain,25
3,1322442481825312768,bend_engage,25
3,1322442481825312768,bend_enhance,10
3,1322442481825312768,bend_neglect,10
3,1322442481825312768,bend_dismay,25
3,1322442481825312768,bend_distort,10
4,1141225465241145344,bend_back,8
4,1141225465241145344,bend_build,4
4,1141225465241145344,bend_excite,4
4,1141225465241145344,bend_explain,4
4,1141225465241145344,bend_engage,8
4,1141225465241145344,bend_enhance,8
4,1141225465241145344,bend_neglect,4
4,1141225465241145344,bend_dismay,8
4,1141225465241145344,bend_dismiss,4
4,1141225465241145344,bend_distract,4
4,1322442481825312768,bend_back,32
4,1322442481825312768,bend_build,14
4,1322442481825312768,bend_bridge,18
4,1322442481825312768,bend_boost,18
4,1322442481825312768,bend_explain,32
4,1322442481825312768,bend_engage,32
4,1322442481825312768,bend_enhance,14
4,1322442481825312768,bend_neglect,14
4,1322442481825312768,bend_dismay,32
4,1322442481825312768,bend_distort,14
5,1141225465241145344,bend_back,8
5,1141225465241145344,bend_build,4
5,1141225465241145344,bend_excite,4
5,1141225465241145344,bend_explain,4
5,1141225465241145344,bend_engage,8
5,1141225465241145344,bend_enhance,8
5,1141225465241145344,bend_neglect,4
5,1141225465241145344,bend_dismay,8
5,1141225465241145344,bend_dismiss,4
5,1141225465241145344,bend_distract,4
5,1322442481825312768,bend_back,39
5,1322442481825312768,bend_build,18
5,1322442481825312768,bend_bridge,21
5,1322442481825312768,bend_boost,21
5,1322442481825312768,bend_explain,39
5,1322442481825312768,bend_engage,39
5,1322442481825312768,bend_enhance,18
5,1322442481825312768,bend_neglect,18
5,1322442481825312768,bend_dismay,39
5,1322442481825312768,bend_distort,18
6,1141225465241145344,bend_back,9
6,1141225465241145344,bend_build,4
6,1141225465241145344,bend_excite,5
6,1141225465241145344,bend_explain,5
6,1141225465241145344,bend_engage,9
6,1141225465241145344,bend_enhance,9
6,1141225465241145344,bend_neglect,4
6,1141225465241145344,bend_dismay,9
6,1141225465241145344,bend_dismiss,4
6,1141225465241145344,bend_distract,5
6,1322442481825312768,bend_back,40
6,1322442481825312768,bend_build,19
6,1322442481825312768,bend_bridge,21
6,1322442481825312768,bend_boost,21
6,1322442481825312768,bend_explain,40
6,1322442481825312768,bend_engage,40
6,1322442481825312768,bend_enhance,19
6,1322442481825312768,bend_neglect,19
6,1322442481825312768,bend_dismay,40
6,1322442481825312768,bend_distort,19
7,1141225465241145344,bend_back,12
7,1141225465241145344,bend_build,5
7,1141225465241145344,bend_excite,7
7,1141225465241145344,bend_explain,7
7,1141225465241145344,bend_engage,12
7,1141225465241145344,bend_enhance,12
7,1141225465241145344,bend_neglect,5
7,1141225465241145344,bend_dismay,12
7,1141225465241145344,bend_dismiss,5
7,1141225465241145344,bend_distract,7
7,1322442481825312768,bend_back,43
7,1322442481825312768,bend_build,21
7,1322442481825312768,bend_bridge,22
7,1322442481825312768,bend_boost,22
7,1322442481825312768,bend_explain,43
7,1322442481825312768,bend_engage,43
7,1322442481825312768,bend_enhance,21
7,1322442481825312768,bend_neglect,21
7,1322442481825312768,bend_dismay,43
7,1322442481825312768,bend_distort,21
8,1141225465241145344,bend_back,12
8,1141225465241145344,bend_build,5
8,1141225465241145344,bend_excite,7
8,1141225465241145344,bend_explain,7
8,1141225465241145344,bend_engage,12
8,1141225465241145344,bend_enhance,12
8,1141225465241145344,bend_neglect,5
8,1141225465241145344,bend_dismay,12
8,1141225465241145344,bend_dismiss,5
8,1141225465241145344,bend_distract,7
8,1322442481825312768,bend_back,45
8,1322442481825312768,bend_build,22
8,1322442481825312768,bend_bridge,23
8,1322442481825312768,bend_boost,23
8,1322442481825312768,bend_explain,45
8,1322442481825312768,bend_engage,45
8,1322442481825312768,bend_enhance,22
8,1322442481825312768,bend_neglect,22
8,1322442481825312768,bend_dismay,45
8,1322442481825312768,bend_distort,22
9,1334134288531374082,bend_back,1
9,1334134288531374082,bend_build,1
9,1334134288531374082,bend_bridge,1
9,1334134288531374082,bend_explain,1
9,1334134288531374082,bend_engage,1
9,1334134288531374082,bend_enhance,1
9,1334134288531374082,bend_dismiss,1
9,1141225465241145344,bend_back,15
9,1141225465241145344,bend_build,7
9,1141225465241145344,bend_bridge,1
9,1141225465241145344,bend_excite,7
9,1141225465241145344,bend_explain,8
9,1141225465241145344,bend_engage,15
9,1141225465241145344,bend_enhance,15
9,1141225465241145344,bend_neglect,7
9,1141225465241145344,bend_dismay,14
9,1141225465241145344,bend_dismiss,8
9,1141225465241145344,bend_distract,7
9,1322442481825312768,bend_back,48
9,1322442481825312768,bend_build,23
9,1322442481825312768,bend_bridge,25
9,1322442481825312768,bend_boost,25
9,1322442481825312768,bend_explain,48
9,1322442481825312768,bend_engage,48
9,1322442481825312768,bend_enhance,23
9,1322442481825312768,bend_neglect,23
9,1322442481825312768,bend_dismay,48
9,1322442481825312768,bend_distort,23
10,1334134288531374082,bend_back,1
10,1334134288531374082,bend_build,1
10,1334134288531374082,bend_bridge,1
10,1334134288531374082,bend_explain,1
10,1334134288531374082,bend_engage,1
10,1334134288531374082,bend_enhance,1
10,1334134288531374082,bend_dismiss,1
10,1141225465241145344,bend_back,16
10,1141225465241145344,bend_build,8
10,1141225465241145344,bend_bridge,1
10,1141225465241145344,bend_excite,7
10,1141225465241145344,bend_explain,8
10,1141225465241145344,bend_engage,16
10,1141225465241145344,bend_enhance,16
10,1141225465241145344,bend_neglect,8
10,1141225465241145344,bend_dismay,15
10,1141225465241145344,bend_dismiss,9
10,1141225465241145344,bend_distract,7
10,1322442481825312768,bend_back,49
10,1322442481825312768,bend_build,23
10,1322442481825312768,bend_bridge,26
10,1322442481825312768,bend_boost,26
10,1322442481825312768,bend_explain,49
10,1322442481825312768,bend_engage,49
10,1322442481825312768,bend_enhance,23
10,1322442481825312768,bend_neglect,23
10,1322442481825312768,bend_dismay,49
10,1322442481825312768,bend_distort,23
11,1334134288531374082,bend_back,1
11,1334134288531374082,bend_build,1
11,1334134288531374082,bend_bridge,1
11,1334134288531374082,bend_explain,1
11,1334134288531374082,bend_engage,1
11,1334134288531374082,bend_enhance,1
11,1334134288531374082,bend_dismiss,1
11,1141225465241145344,bend_back,17
11,1141225465241145344,bend_build,8
11,1141225465241145344,bend_bridge,2
11,1141225465241145344,bend_excite,7
11,1141225465241145344,bend_explain,9
11,1141225465241145344,bend_engage,17
11,1141225465241145344,bend_enhance,17
11,1141225465241145344,bend_neglect,8
11,1141225465241145344,bend_dismay,15
11,1141225465241145344,bend_dismiss,10
11,1141225465241145344,bend_distract,7
11,1322442481825312768,bend_back,49
11,1322442481825312768,bend_build,23
11,1322442481825312768,bend_bridge,26
11,1322442481825312768,bend_boost,26
11,1322442481825312768,bend_explain,49
11,1322442481825312768,bend_engage,49
11,1322442481825312768,bend_enhance,23
11,1322442481825312768,bend_neglect,23
11,1322442481825312768,bend_dismay,49
11,1322442481825312768,bend_distort,23
12,1334134288531374082,bend_back,1
12,1334134288531374082,bend_build,1
12,1334134288531374082,bend_bridge,1
12,1334134288531374082,bend_explain,1
12,1334134288531374082,bend_engage,1
12,1334134288531374082,bend_enhance,1
12,1334134288531374082,bend_dismiss,1
12,1313128625680592896,bend_back,1
12,1313128625680592896,bend_explain,1
12,1313128625680592896,bend_enhance,1
12,1313128625680592896,bend_narrow,1
12,1141225465241145344,bend_back,19
12,1141225465241145344,bend_build,10
12,1141225465241145344,bend_bridge,2
12,1141225465241145344,bend_excite,7
12,1141225465241145344,bend_explain,10
12,1141225465241145344,bend_engage,20
12,1141225465241145344,bend_enhance,19
12,1141225465241145344,bend_negate,1
12,1141225465241145344,bend_neutralize,1
12,1141225465241145344,bend_neglect,10
12,1141225465241145344,bend_dismay,18
12,1141225465241145344,bend_distort,1
12,1141225465241145344,bend_dismiss,12
12,1141225465241145344,bend_distract,8
12,1322442481825312768,bend_back,49
12,1322442481825312768,bend_build,23
12,1322442481825312768,bend_bridge,26
12,1322442481825312768,bend_boost,26
12,1322442481825312768,bend_explain,49
12,1322442481825312768,bend_engage,49
12,1322442481825312768,bend_enhance,23
12,1322442481825312768,bend_neglect,23
12,1322442481825312768,bend_dismay,49
12,1322442481825312768,bend_distort,23
13,1334134288531374082,bend_back,1
13,1334134288531374082,bend_build,1
13,1334134288531374082,bend_bridge,1
13,1334134288531374082,bend_explain,1
13,1334134288531374082,bend_engage,1
13,1334134288531374082,bend_enhance,1
13,1334134288531374082,bend_dismiss,1
13,1313128625680592896,bend_back,1
13,1313128625680592896,bend_explain,1
13,1313128625680592896,bend_enhance,1
13,1313128625680592896,bend_narrow,1
13,1141225465241145344,bend_back,20
13,1141225465241145344,bend_build,11
13,1141225465241145344,bend_bridge,2
13,1141225465241145344,bend_excite,7
13,1141225465241145344,bend_explain,10
13,1141225465241145344,bend_engage,21
13,1141225465241145344,bend_enhance,20
13,1141225465241145344,bend_negate,1
13,1141225465241145344,bend_neutralize,1
13,1141225465241145344,bend_neglect,11
13,1141225465241145344,bend_dismay,19
13,1141225465241145344,bend_distort,1
13,1141225465241145344,bend_dismiss,13
13,1141225465241145344,bend_distract,8
13,1322442481825312768,bend_back,50
13,1322442481825312768,bend_build,24
13,1322442481825312768,bend_bridge,26
13,1322442481825312768,bend_boost,26
13,1322442481825312768,bend_explain,50
13,1322442481825312768,bend_engage,50
13,1322442481825312768,bend_enhance,24
13,1322442481825312768,bend_neglect,24
13,1322442481825312768,bend_dismay,50
13,1322442481825312768,bend_distort,24
14,1334134288531374082,bend_back,1
14,1334134288531374082,bend_build,1
14,1334134288531374082,bend_bridge,1
14,1334134288531374082,bend_explain,1
14,1334134288531374082,bend_engage,1
14,1334134288531374082,bend_enhance,1
14,1334134288531374082,bend_dismiss,1
14,1313128625680592896,bend_back,2
14,1313128625680592896,bend_explain,2
14,1313128625680592896,bend_enhance,2
14,1313128625680592896,bend_narrow,2
14,1141225465241145344,bend_back,20
14,1141225465241145344,bend_build,11
14,1141225465241145344,bend_bridge,2
14,1141225465241145344,bend_excite,7
14,1141225465241145344,bend_explain,10
14,1141225465241145344,bend_engage,21
14,1141225465241145344,bend_enhance,20
14,1141225465241145344,bend_negate,1
14,1141225465241145344,bend_neutralize,1
14,1141225465241145344,bend_neglect,11
14,1141225465241145344,bend_dismay,19
14,1141225465241145344,bend_distort,1
14,1141225465241145344,bend_dismiss,13
14,1141225465241145344,bend_distract,8
14,1322442481825312768,bend_back,51
14,1322442481825312768,bend_build,24
14,1322442481825312768,bend_bridge,26
14,1322442481825312768,bend_boost,27
14,1322442481825312768,bend_excite,1
14,1322442481825312768,bend_explain,51
14,1322442481825312768,bend_engage,51
14,1322442481825312768,bend_enhance,24
14,1322442481825312768,bend_neglect,25
14,1322442481825312768,bend_dismay,51
14,1322442481825312768,bend_distort,24
15,1334134288531374082,bend_back,1
15,1334134288531374082,bend_build,1
15,1334134288531374082,bend_bridge,1
15,1334134288531374082,bend_explain,1
15,1334134288531374082,bend_engage,1
15,1334134288531374082,bend_enhance,1
15,1334134288531374082,bend_dismiss,1
15,1313128625680592896,bend_back,2
15,1313128625680592896,bend_explain,2
15,1313128625680592896,bend_enhance,2
15,1313128625680592896,bend_narrow,2
15,1141225465241145344,bend_back,20
15,1141225465241145344,bend_build,11
15,1141225465241145344,bend_bridge,2
15,1141225465241145344,bend_excite,7
15,1141225465241145344,bend_explain,10
15,1141225465241145344,bend_engage,21
15,1141225465241145344,bend_enhance,20
15,1141225465241145344,bend_negate,1
15,1141225465241145344,bend_neutralize,1
